model,F1-Score,Balanced Accuracy
mean-marker [probe],0.6730249088894883,0.7395273375780842
KRONOS2 [probe],0.6825252789627929,0.7491161450131627
DeepCell Types [probe],0.6989433533558634,0.7643796091553036
Spatium [probe],0.5376956531128722,0.6127737426012764
VirTues [probe],0.5696576492500819,0.6411003575899616
DeepCell Types (zero-shot) [native],0.2376691541541072,0.2900858223719703
Spatium (10-shot) [native],0.41657451138519,0.48143955889660645
Spatium (20-shot) [native],0.47451790135301297,0.5419459125006949
Spatium (100-shot) [native],0.5103998341029039,0.5755464882979193
