C,valid_f1,Fold
0.017670169402947963,0.6785900108093389,fold_1
50.61576888752309,0.6824883881867482,fold_1
2.465832945854912,0.6825434845252987,fold_1
0.39079671568228835,0.6825044452169021,fold_1
0.0008632008168602544,0.6363469720198047,fold_1
0.0008629132190071859,0.6363469720198047,fold_1
0.00022310108018679258,0.5982202929255197,fold_1
15.741890047456648,0.6823948761347376,fold_1
0.4042872735027334,0.6827515762314132,fold_1
1.7718847354806828,0.6824824438259796,fold_1
0.07154217398141544,0.6828352420653285,fold_1
0.059523574442148675,0.682500823414877,fold_1
0.028602659969493568,0.6813403328803475,fold_1
0.2912516799985896,0.6829404544071337,fold_1
0.007850400126052561,0.6731251460074397,fold_1
0.017670169402947963,0.6752836344411229,fold_2
50.61576888752309,0.6795867132285265,fold_2
2.465832945854912,0.6794101273405011,fold_2
0.39079671568228835,0.6796103959675349,fold_2
0.0008632008168602544,0.6355514780868816,fold_2
0.0008629132190071859,0.6355514780868816,fold_2
0.00022310108018679258,0.594217042827871,fold_2
15.741890047456648,0.6792781313183629,fold_2
0.4042872735027334,0.6797682320992976,fold_2
1.7718847354806828,0.6796033320436515,fold_2
0.07154217398141544,0.6795073297886156,fold_2
0.10085077365744721,0.6801960678978493,fold_2
0.01815846662605302,0.6754148173925785,fold_2
0.15917119469683638,0.6802973655738833,fold_2
0.02211461665084925,0.6759810972904284,fold_2
0.017670169402947963,0.6627742837194133,fold_3
50.61576888752309,0.6636608853998693,fold_3
2.465832945854912,0.663236075449188,fold_3
0.39079671568228835,0.6639218596310346,fold_3
0.0008632008168602544,0.6301849253752445,fold_3
0.0008629132190071859,0.6301223871969998,fold_3
0.00022310108018679258,0.5951349796595244,fold_3
15.741890047456648,0.6632083012535137,fold_3
0.4042872735027334,0.6638045894377752,fold_3
1.7718847354806828,0.6633136039516763,fold_3
0.07107622001999353,0.6647769875201234,fold_3
0.059189613637840664,0.664244739674051,fold_3
0.020322644540807618,0.6630449089134021,fold_3
0.024775604118882938,0.6640181531655305,fold_3
0.06999482335959158,0.6645177282944164,fold_3
0.017670169402947963,0.6737961844712486,fold_4
50.61576888752309,0.6776220976805575,fold_4
2.465832945854912,0.6774769262735036,fold_4
0.39079671568228835,0.6777482510653137,fold_4
0.0008632008168602544,0.645845355015823,fold_4
0.0008629132190071859,0.645845355015823,fold_4
0.00022310108018679258,0.6150198798284708,fold_4
15.741890047456648,0.6775232037348298,fold_4
0.4042872735027334,0.677429297218596,fold_4
1.7718847354806828,0.6780220247145731,fold_4
0.015877002610239218,0.6733803874448754,fold_4
0.3045923975140048,0.6775710102925876,fold_4
0.5978892858434561,0.677890853582561,fold_4
4.55558201641234,0.6777209043546061,fold_4
0.05511334276325343,0.675920485187149,fold_4
