C,valid_f1,Fold
0.017670169402947963,0.680745368059307,fold_1
50.61576888752309,0.6519177448275008,fold_1
2.465832945854912,0.6790686986348944,fold_1
0.39079671568228835,0.6842175213439972,fold_1
0.0008632008168602544,0.6317449550509633,fold_1
0.0008629132190071859,0.631650247146086,fold_1
0.00022310108018679258,0.5901779646039254,fold_1
15.741890047456648,0.6617652528421283,fold_1
0.4042872735027334,0.6841147909597558,fold_1
1.7718847354806828,0.6818096017665685,fold_1
0.07107622001999353,0.6842280697824952,fold_1
0.059189613637840664,0.6847937083163198,fold_1
0.020322644540807618,0.6827680675525581,fold_1
0.024775604118882938,0.6837891682448332,fold_1
0.06999482335959158,0.6840664866033752,fold_1
0.017670169402947963,0.6757571488643019,fold_2
50.61576888752309,0.6556442889902343,fold_2
2.465832945854912,0.6782095682814254,fold_2
0.39079671568228835,0.6847813014107682,fold_2
0.0008632008168602544,0.6271774667497453,fold_2
0.0008629132190071859,0.6270377390385786,fold_2
0.00022310108018679258,0.5867588307314615,fold_2
15.741890047456648,0.6641287744730395,fold_2
0.4042872735027334,0.6846676731897045,fold_2
1.7718847354806828,0.6800540778864244,fold_2
0.07107622001999353,0.6838989750771012,fold_2
0.10085077365744716,0.683931546095061,fold_2
0.3495881914612469,0.685390782266383,fold_2
0.012053282859112405,0.6726779090869518,fold_2
1.9544189872884814,0.6795094683479246,fold_2
0.017670169402947963,0.6640715550297422,fold_3
50.61576888752309,0.6420448312173825,fold_3
2.465832945854912,0.6637840589237411,fold_3
0.39079671568228835,0.6725560979666103,fold_3
0.0008632008168602544,0.6230118939978706,fold_3
0.0008629132190071859,0.6231070895596584,fold_3
0.00022310108018679258,0.5847866602654931,fold_3
15.741890047456648,0.6512105569044665,fold_3
0.4042872735027334,0.6722042455912784,fold_3
1.7718847354806828,0.665770482094652,fold_3
0.07107622001999353,0.6704571359049398,fold_3
0.10085077365744716,0.6716809214648793,fold_3
0.3495881914612469,0.6725530936897983,fold_3
0.012053282859112405,0.6616240755014997,fold_3
1.9544189872884814,0.6653518790635544,fold_3
0.017670169402947963,0.681145602483715,fold_4
50.61576888752309,0.6568029221064201,fold_4
2.465832945854912,0.676142558297041,fold_4
0.39079671568228835,0.6859401388129425,fold_4
0.0008632008168602544,0.640853177859997,fold_4
0.0008629132190071859,0.6406145580505442,fold_4
0.00022310108018679258,0.6030528871153013,fold_4
15.741890047456648,0.6646038760745226,fold_4
0.4042872735027334,0.6862695855145763,fold_4
1.7718847354806828,0.6787204896251858,fold_4
0.07154217398141544,0.6862149542380506,fold_4
0.059523574442148675,0.686833482426853,fold_4
0.02041908465643881,0.6823777469120615,fold_4
0.1009291767004606,0.6878289713025034,fold_4
0.006764334997441966,0.6732203725865287,fold_4
