C,valid_f1,Fold
0.017670169402947963,0.5829738058827585,fold_1
50.61576888752309,0.5686094677105962,fold_1
2.465832945854912,0.5710127310215878,fold_1
0.39079671568228835,0.5776992652589971,fold_1
0.0008632008168602544,0.5567504466493729,fold_1
0.0008629132190071859,0.5566657419810599,fold_1
0.00022310108018679258,0.5288130626540224,fold_1
15.741890047456648,0.568602997076186,fold_1
0.4042872735027334,0.5773474968042225,fold_1
1.7718847354806828,0.5725138679857313,fold_1
0.02977751217076364,0.5833240076085313,fold_1
0.021883188527768254,0.5833541242267373,fold_1
0.015199855220182483,0.5826749513672107,fold_1
0.012053282859112405,0.5821816876043883,fold_1
0.06679058515482007,0.5825176632827537,fold_1
0.017670169402947963,0.5798396374974302,fold_2
50.61576888752309,0.5656621574872407,fold_2
2.465832945854912,0.5680140301191247,fold_2
0.39079671568228835,0.5743953503850378,fold_2
0.0008632008168602544,0.55102311641626,fold_2
0.0008629132190071859,0.5506970962717987,fold_2
0.00022310108018679258,0.5232950117968787,fold_2
15.741890047456648,0.5660772936539742,fold_2
0.4042872735027334,0.5732771765173053,fold_2
1.7718847354806828,0.5681864389655118,fold_2
0.02977751217076364,0.5809601526407557,fold_2
0.021883188527768254,0.5807685943927017,fold_2
0.015199855220182483,0.579225114125052,fold_2
0.012053282859112405,0.5780675029151627,fold_2
0.06679058515482007,0.5803957545037601,fold_2
0.017670169402947963,0.5733594795344814,fold_3
50.61576888752309,0.5601104800418981,fold_3
2.465832945854912,0.56204003272439,fold_3
0.39079671568228835,0.5676564572331166,fold_3
0.0008632008168602544,0.5416364091791895,fold_3
0.0008629132190071859,0.5416607656794501,fold_3
0.00022310108018679258,0.5143287039265649,fold_3
15.741890047456648,0.5605849739394879,fold_3
0.4042872735027334,0.567475194296272,fold_3
1.7718847354806828,0.562887392283905,fold_3
0.02977751217076364,0.5743009224084981,fold_3
0.021883188527768254,0.57391671619171,fold_3
0.015199855220182483,0.5730560931892577,fold_3
0.012053282859112405,0.5717649265072919,fold_3
0.06679058515482007,0.5729398498721006,fold_3
0.017670169402947963,0.585272660607546,fold_4
50.61576888752309,0.5707862954512014,fold_4
2.465832945854912,0.5744195142146749,fold_4
0.39079671568228835,0.580232031758046,fold_4
0.0008632008168602544,0.5577773606995436,fold_4
0.0008629132190071859,0.5580722506126946,fold_4
0.00022310108018679258,0.5329866821422737,fold_4
15.741890047456648,0.5708727708188343,fold_4
0.4042872735027334,0.5797739424112984,fold_4
1.7718847354806828,0.57550691639433,fold_4
0.02977751217076364,0.5860058971882945,fold_4
0.021883188527768254,0.5857978967641919,fold_4
0.015199855220182483,0.5843384902599372,fold_4
0.012053282859112405,0.5841919481659957,fold_4
0.06679058515482007,0.584958978416686,fold_4
